,Longitude,Latitude,Time,Temperature,Depth,PlatformCode
0,-0.9847999811172485,59.2848014831543,19369.830231481483,8.09,5,AA
1,-0.6563000082969666,59.2848014831543,19369.882118055557,7.567,5,AA
2,-0.3617999851703644,59.2848014831543,19369.925960648146,7.352,5,AA
3,0.006500000134110451,59.281700134277344,19369.97979166667,7.485,5,AA
4,0.3292999863624573,59.284698486328125,19370.039548611112,7.527,5,AA
5,0.6779999732971191,59.28379821777344,19370.08986111111,7.619,5,AA
6,1.003499984741211,59.28219985961914,19370.14857638889,7.441,5,AA
7,1.3131999969482422,59.28219985961914,19370.195069444442,7.2330000000000005,5,AA
8,1.6562999486923218,59.28379821777344,19370.253969907408,7.2330000000000005,5,AA
9,2.012500047683716,59.284000396728516,19370.392291666667,7.187,5,AA
10,2.246999979019165,59.28450012207031,19370.426342592593,7.17,5,AA
11,2.5167999267578125,59.28200149536133,19370.515162037038,7.065,5,AA
12,2.751300096511841,59.28369903564453,19370.551828703705,6.952,5,AA
13,2.9019999504089355,59.28269958496094,19370.590659722224,7.596,5,AA
14,3.074199914932251,59.28730010986328,19370.61494212963,7.206,5,AA
15,3.227299928665161,59.28300094604492,19370.676157407408,6.963,5,AA
16,3.3631999492645264,59.28350067138672,19371.464363425926,8.266,5,AA
17,3.5336999893188477,59.283199310302734,19371.497337962963,7.29,5,AA
18,3.682499885559082,59.28300094604492,19371.52736111111,6.557,5,AA
19,3.849299907684326,59.28620147705078,19371.559618055555,6.378,5,AA
20,4.032700061798096,59.28919982910156,19371.591944444444,6.628,5,AA
21,4.18120002746582,59.288299560546875,19371.617962962962,6.141,5,AA
22,4.333799839019775,59.284698486328125,19371.64386574074,6.048,5,AA
23,4.499199867248535,59.283199310302734,19371.673298611113,5.9190000000000005,5,AA
24,4.668000221252441,59.28329849243164,19371.703530092593,5.924,5,AA
25,4.822000026702881,59.2843017578125,19371.734791666666,6.15,5,AA
26,4.933800220489502,59.28269958496094,19371.760925925926,6.0600000000000005,5,AA
27,5.031199932098389,59.284000396728516,19371.781817129628,5.9590000000000005,5,AA
28,8.084500312805176,58.050498962402344,19376.166469907406,7.146,5,AA
29,8.101200103759766,57.98379898071289,19376.192916666667,5.972,5,AA
30,8.163200378417969,57.91579818725586,19376.223819444444,6.279,5,AA
31,8.200200080871582,57.85129928588867,19376.253159722222,6.056,5,AA
32,8.284000396728516,57.73529815673828,19376.301064814816,5.982,5,AA
33,8.336199760437012,57.64970016479492,19376.334976851853,5.126,5,AA
34,8.38070011138916,57.54679870605469,19376.374386574073,4.257,5,AA
35,8.4197998046875,57.481998443603516,19376.398229166665,5.368,5,AA
36,8.46780014038086,57.39870071411133,19376.426550925924,5.174,5,AA
37,8.503800392150879,57.316001892089844,19376.455439814814,4.795,5,AA
38,8.555800437927246,57.23400115966797,19376.483784722222,3.794,5,AA
39,7.682700157165527,57.40250015258789,19376.739988425925,6.289,5,AA
40,7.952499866485596,57.00149917602539,19376.915925925925,4.865,5,AA
41,7.653500080108643,57.00279998779297,19376.977465277778,5.34,5,AA
42,7.353799819946289,56.99980163574219,19377.032824074075,5.5040000000000004,5,AA
43,6.997499942779541,57.00170135498047,19377.09681712963,5.738,5,AA
44,6.6717000007629395,57.00130081176758,19377.162685185187,6.2940000000000005,5,AA
45,6.337699890136719,57.00019836425781,19377.228668981483,5.989,5,AA
46,6.004799842834473,56.999298095703125,19377.295995370372,6.135,5,AA
47,5.832200050354004,56.88169860839844,19377.347905092593,6.388,5,AA
48,6.254300117492676,56.676300048828125,19377.525902777776,5.739,5,AA
49,5.768700122833252,56.779300689697266,19377.631041666667,6.126,5,AA
50,5.6682000160217285,57.00130081176758,19377.76125,6.03,5,AA
51,5.195499897003174,56.99879837036133,19377.8665625,6.144,5,AA
52,6.117300033569336,57.18479919433594,19378.303946759257,6.0920000000000005,5,AA
53,5.738699913024902,57.22600173950195,19378.41138888889,5.905,5,AA
54,4.645699977874756,57.838199615478516,19378.69883101852,7.224,5,AA
55,4.697500228881836,57.000701904296875,19379.247222222224,6.152,5,AA
56,4.492199897766113,57.13019943237305,19379.302511574075,6.035,5,AA
57,4.301300048828125,57.000701904296875,19379.38699074074,6.149,5,AA
58,4.171299934387207,56.87080001831055,19379.426979166667,6.319,5,AA
59,3.898699998855591,57.003501892089844,19379.50136574074,6.23,5,AA
60,3.6691999435424805,57.00130081176758,19379.535729166666,6.66,5,AA
61,3.395699977874756,57.000701904296875,19379.61664351852,6.841,5,AA
62,3.1273000240325928,57.89649963378906,19380.325671296294,7.26,5,AA
63,2.9519999027252197,57.737300872802734,19380.440671296295,6.112,5,AA
64,2.625999927520752,57.26599884033203,19380.585046296295,7.362,5,AA
65,2.753999948501587,56.920799255371094,19380.728877314814,7.222,5,AA
66,2.9296998977661133,56.99980163574219,19380.765659722223,7.1850000000000005,5,AA
67,2.498699903488159,57.00230026245117,19380.824027777777,7.353,5,AA
68,2.066800117492676,56.99980163574219,19380.8840625,7.433,5,AA
69,1.7992000579833984,56.999698638916016,19380.922152777777,7.4590000000000005,5,AA
70,1.6002000570297241,57.00130081176758,19380.95113425926,7.517,5,AA
71,1.1360000371932983,57.0004997253418,19381.016215277778,7.816,5,AA
72,0.6697999835014343,56.999298095703125,19381.08150462963,7.872,5,AA
73,0.23119999468326569,56.99879837036133,19381.1458912037,7.9110000000000005,5,AA
74,-0.23250000178813934,56.999298095703125,19381.21820601852,8.015,5,AA
75,-0.6983000040054321,57.00019836425781,19381.291689814814,8.029,5,AA
