rank,Longitude,Latitude,Time,Temperature,Conductivity,Salinity,Depth,Vaissel_name,Profil_id
0,4.615499973297119,60.75529861450195,19364.226354166665,6.822,34.255,34.036,16,AA,178
1,4.448299884796143,60.74829864501953,19364.253564814815,6.808,34.555,34.382,16,AA,172
2,4.285299777984619,60.75149917602539,19364.356944444444,7.76,35.885,34.882,16,AA,166
3,4.117000102996826,60.747798919677734,19364.387569444447,7.522,35.358000000000004,34.548,16,AA,161
4,3.947499990463257,60.752201080322266,19364.416400462964,6.7780000000000005,34.365,34.202,16,AA,157
5,3.7853000164031982,60.7504997253418,19364.445497685185,8.959,37.394,35.294000000000004,16,AA,149
6,3.6135001182556152,60.75019836425781,19364.479074074075,9.0,37.469,35.300000000000004,16,AA,144
7,3.4523000717163086,60.750701904296875,19364.50988425926,9.111,37.537,35.294000000000004,16,AA,140
8,3.2816998958587646,60.74829864501953,19364.54716435185,9.176,37.604,35.300000000000004,16,AA,133
9,3.118299961090088,60.747798919677734,19364.576886574072,9.112,37.568,35.326,16,AA,127
10,2.935699939727783,60.749298095703125,19364.60935185185,9.013,37.435,35.284,16,AA,121
11,2.763000011444092,60.74829864501953,19364.63766203704,8.857,37.311,35.309,16,AA,116
12,2.5954999923706055,60.749698638916016,19364.664895833335,8.169,36.589,35.229,16,AA,103
13,2.2657999992370605,60.749298095703125,19364.71195601852,7.258,35.62,35.1,16,AA,94
14,1.9172999858856201,60.75120162963867,19364.78070601852,7.237,35.592,35.091,16,AA,83
15,1.4321999549865723,60.75230026245117,19364.851296296296,8.132,36.552,35.227000000000004,16,AA,71
16,0.9135000109672546,60.75199890136719,19364.925474537038,8.128,36.546,35.226,16,AA,60
17,0.5861999988555908,60.750701904296875,19364.988055555554,8.965,37.398,35.294000000000004,16,AA,50
18,0.2522999942302704,60.75,19365.055868055555,8.955,37.388,35.292,16,AA,44
19,0.08349999785423279,60.74919891357422,19365.082291666666,8.92,37.316,35.25,16,AA,39
20,-0.2653000056743622,60.749698638916016,19365.12835648148,8.743,37.138,35.24,16,AA,33
21,-0.4650000035762787,60.74729919433594,19365.15855324074,9.06,37.43,35.232,16,AA,27
22,-0.673799991607666,60.74869918823242,19365.19179398148,9.275,37.643,35.242,16,AA,23
23,3.0248000621795654,60.57680130004883,19367.505324074074,9.286,37.765,35.358000000000004,16,AA,124
24,2.54830002784729,60.628501892089844,19367.607916666668,8.688,37.148,35.304,16,AA,102
25,-0.9847999811172485,59.2848014831543,19369.830231481483,8.097,36.5,35.206,16,AA,17
26,-0.6563000082969666,59.2848014831543,19369.882118055557,7.57,35.973,35.167,16,AA,24
27,-0.3617999851703644,59.2848014831543,19369.925960648146,7.351,35.748,35.144,16,AA,29
28,0.006500000134110451,59.281700134277344,19369.97979166667,7.488,35.917,35.191,16,AA,38
29,0.3292999863624573,59.284698486328125,19370.039548611112,7.5280000000000005,35.96,35.197,16,AA,48
30,0.6779999732971191,59.28379821777344,19370.08986111111,7.619,36.059,35.212,16,AA,54
31,1.003499984741211,59.28219985961914,19370.14857638889,7.44,35.861000000000004,35.178,16,AA,61
32,1.3131999969482422,59.28219985961914,19370.195069444442,7.2330000000000005,35.592,35.094,16,AA,69
33,1.6562999486923218,59.28379821777344,19370.253969907408,7.2330000000000005,35.599000000000004,35.102000000000004,16,AA,79
34,2.012500047683716,59.284000396728516,19370.392291666667,7.1850000000000005,35.543,35.089,16,AA,85
35,2.246999979019165,59.28450012207031,19370.426342592593,7.164000000000001,35.512,35.075,16,AA,92
