rank,Longitude,Latitude,Time,Temperature,Conductivity,Salinity,Depth,Vaissel_name,Profil_id
0,-6.9079999923706055,62.60850143432617,20632.436435185187,8.9,37.321,35.274,23,AA,2
1,-7.326388835906982,62.552223205566406,20632.563310185185,8.896,3.728,,23,AA,1
2,-6.2017998695373535,62.0,20633.268136574075,8.925,37.304,35.230000000000004,23,AA,3
3,-6.152200222015381,62.03730010986328,20633.448414351853,9.121,37.478,35.219,23,AA,4
4,-6.121500015258789,62.05870056152344,20633.568935185187,8.870000000000001,37.247,35.224000000000004,23,AA,5
5,-6.119166851043701,62.10722351074219,20633.64128472222,8.861,3.722,,23,AA,6
6,-0.30649998784065247,63.40420150756836,20655.42813657407,11.255,39.53,35.237,23,AA,41
7,-0.3061999976634979,63.40399932861328,20655.567858796294,11.003,39.192,35.141,23,AA,42
8,-0.3061999976634979,63.40399932861328,20655.697881944445,10.437,38.64,35.129,23,AA,42
9,-0.3105555474758148,63.40666580200195,20655.821874999998,10.658,3.8850000000000002,,23,AA,40
10,5.196000099182129,62.365299224853516,20656.81409722222,13.761000000000001,39.677,33.098,23,AA,180
11,4.947700023651123,62.48720169067383,20656.8984375,13.466000000000001,39.292,32.994,23,AA,176
12,4.6938886642456055,62.60222244262695,20656.959155092594,11.578,3.936,,23,AA,173
13,4.436200141906738,62.72129821777344,20657.028449074074,10.151,37.694,34.443,23,AA,164
14,4.17519998550415,62.83869934082031,20657.24439814815,12.013,40.308,35.283,23,AA,155
15,3.9130001068115234,62.95819854736328,20657.357256944444,12.185,40.365,35.175000000000004,23,AA,148
16,3.6575000286102295,63.073699951171875,20657.49283564815,12.404,40.572,35.17,23,AA,141
17,3.3952999114990234,63.191001892089844,20657.617280092592,12.463000000000001,40.676,35.216,23,AA,131
18,3.130000114440918,63.31480026245117,20657.700243055555,12.249,40.521,35.267,23,AA,122
19,2.870699882507324,63.430301666259766,20657.83269675926,11.921,40.11,35.175000000000004,23,AA,111
20,2.345277786254883,63.671390533447266,20657.966805555556,11.643,3.978,,23,AA,100
21,1.798200011253357,63.904701232910156,20658.204282407405,11.805,40.037,35.213,23,AA,88
22,1.2592999935150146,64.13919830322266,20658.349849537037,10.117,38.264,35.056,23,AA,72
23,0.7246999740600586,64.37049865722656,20658.5965625,10.398,38.521,35.046,23,AA,66
24,-0.009999999776482582,64.6675033569336,20658.78486111111,9.431000000000001,3.75,,23,AA,47
25,9.584799766540527,69.95149993896484,20660.4659375,9.4,37.672000000000004,35.145,23,AA,213
26,10.27280044555664,69.70050048828125,20660.70869212963,10.136000000000001,38.404,35.18,23,AA,216
27,10.955277442932129,69.48416900634766,20660.910266203704,10.540000000000001,3.874,,23,AA,218
28,11.61769962310791,69.2332992553711,20661.148657407408,10.002,38.262,35.166000000000004,23,AA,220
29,12.283699989318848,69.0322036743164,20661.286724537036,10.370000000000001,38.642,35.196,23,AA,223
30,12.802200317382812,68.84980010986328,20661.576875,9.96,38.186,35.128,23,AA,225
31,13.162799835205078,68.73480224609375,20661.65318287037,8.065,35.974000000000004,34.67,23,AA,227
32,13.586799621582031,68.5790023803711,20661.721041666668,9.771,37.324,34.427,23,AA,228
33,13.78279972076416,68.51069641113281,20661.769282407407,10.42,37.9,34.396,23,AA,230
34,14.011300086975098,68.43000030517578,20661.827858796296,9.492,36.636,33.983000000000004,23,AA,232
35,-6.9079999923706055,62.60850143432617,20632.436435185187,8.9,37.322,35.274,24,AA,2
36,-7.326388835906982,62.552223205566406,20632.563310185185,8.896,3.728,,24,AA,1
37,-6.2017998695373535,62.0,20633.268136574075,8.896,37.28,35.232,24,AA,3
38,-6.152200222015381,62.03730010986328,20633.448414351853,9.119,37.477000000000004,35.219,24,AA,4
39,-6.121500015258789,62.05870056152344,20633.568935185187,8.844,37.223,35.224000000000004,24,AA,5
40,-6.119166851043701,62.10722351074219,20633.64128472222,8.848,3.721,,24,AA,6
41,-0.30649998784065247,63.40420150756836,20655.42813657407,11.234,39.512,35.238,24,AA,41
42,-0.3061999976634979,63.40399932861328,20655.567858796294,11.0,39.201,35.152,24,AA,42
43,-0.3061999976634979,63.40399932861328,20655.697881944445,10.035,38.284,35.155,24,AA,42
44,-0.3105555474758148,63.40666580200195,20655.821874999998,10.577,3.878,,24,AA,40
45,5.196000099182129,62.365299224853516,20656.81409722222,13.76,39.68,33.102000000000004,24,AA,180
46,4.947700023651123,62.48720169067383,20656.8984375,13.434000000000001,39.266,32.997,24,AA,176
47,4.6938886642456055,62.60222244262695,20656.959155092594,11.472,3.927,,24,AA,173
48,4.436200141906738,62.72129821777344,20657.028449074074,10.524000000000001,38.322,34.723,24,AA,164
49,4.17519998550415,62.83869934082031,20657.24439814815,11.869,40.169000000000004,35.283,24,AA,155
50,3.9130001068115234,62.95819854736328,20657.357256944444,12.151,40.336,35.178,24,AA,148
51,3.6575000286102295,63.073699951171875,20657.49283564815,12.402000000000001,40.571,35.17,24,AA,141
52,3.3952999114990234,63.191001892089844,20657.617280092592,12.450000000000001,40.663000000000004,35.215,24,AA,131
53,3.130000114440918,63.31480026245117,20657.700243055555,12.247,40.531,35.278,24,AA,122
54,2.870699882507324,63.430301666259766,20657.83269675926,11.78,39.979,35.18,24,AA,111
55,2.345277786254883,63.671390533447266,20657.966805555556,11.629,3.976,,24,AA,100
56,1.798200011253357,63.904701232910156,20658.204282407405,11.795,40.028,35.213,24,AA,88
57,1.2592999935150146,64.13919830322266,20658.349849537037,10.125,38.281,35.066,24,AA,72
