rank,Longitude,Latitude,Time,Temperature,Depth,Vaissel_name,Profil_id
0,5.169169902801514,60.51449966430664,23997.41358796296,9.534,28,AA,87
1,4.98567008972168,60.58620071411133,23997.472858796293,11.631,28,AA,85
2,5.3686699867248535,60.86949920654297,23999.27880787037,12.102,28,AA,119
3,5.366330146789551,60.86980056762695,23999.939652777775,13.059000000000001,28,AA,118
4,5.365670204162598,60.868499755859375,24000.429999999997,13.635,28,AA,116
5,5.392169952392578,60.871299743652344,24002.52070601852,14.121,28,AA,121
6,5.3379998207092285,60.820701599121094,24002.690081018518,14.15,28,AA,99
7,5.343830108642578,60.82550048828125,24003.325671296294,14.137,28,AA,107
8,5.341330051422119,60.82550048828125,24003.686724537038,,28,AA,103
9,5.366330146789551,60.86920166015625,24004.271030092594,12.67,28,AA,117
10,5.3711700439453125,60.87049865722656,24005.875416666666,12.241,28,AA,120
11,5.237329959869385,60.1870002746582,24007.336550925927,13.756,28,AA,90
12,5.551330089569092,59.8302001953125,24007.450833333332,12.397,28,AA,127
13,5.509500026702881,59.74129867553711,24007.49146990741,12.436,28,AA,126
14,4.373169898986816,62.84320068359375,24008.425150462965,12.042,28,AA,73
15,16.661699295043945,69.29650115966797,24023.743622685186,9.933,28,AA,229
16,16.03219985961914,69.07599639892578,24024.302534722225,10.144,28,AA,224
17,15.788700103759766,68.23380279541016,24024.811203703703,10.498,28,AA,222
18,15.231200218200684,68.06520080566406,24025.275856481483,10.722,28,AA,219
19,14.428199768066406,67.73919677734375,24025.881516203703,11.029,28,AA,216
20,14.026800155639648,67.48169708251953,24026.526608796295,11.352,28,AA,210
21,13.569000244140625,67.07319641113281,24027.2775,11.407,28,AA,201
22,14.40779972076416,68.11399841308594,24029.501238425928,11.051,28,AA,215
23,13.24020004272461,67.97570037841797,24030.053287037037,10.953,28,AA,200
24,13.666199684143066,67.80169677734375,24030.174594907407,11.016,28,AA,204
25,13.037799835205078,67.68499755859375,24030.36608796296,11.048,28,AA,196
26,12.25220012664795,67.46219635009766,24030.583935185186,10.606,28,AA,187
27,13.625300407409668,66.86499786376953,24031.265694444446,11.732000000000001,28,AA,203
28,12.823200225830078,66.71399688720703,24031.55421296296,11.617,28,AA,195
29,13.090299606323242,66.24849700927734,24031.70907407407,11.02,28,AA,197
30,13.105500221252441,65.9126968383789,24031.971944444445,12.101,28,AA,198
31,12.735699653625488,65.95269775390625,24032.052291666667,11.662,28,AA,193
32,12.417200088500977,65.73149871826172,24032.277754629627,11.037,28,AA,190
33,12.01930046081543,65.33280181884766,24032.647500000003,11.47,28,AA,185
34,11.202799797058105,65.26629638671875,24032.893668981484,12.264000000000001,28,AA,180
35,11.026300430297852,64.59300231933594,24033.20767361111,12.118,28,AA,178
36,11.418499946594238,64.45670318603516,24033.296412037034,12.765,28,AA,183
37,10.331999778747559,64.21369934082031,24033.70787037037,11.42,28,AA,173
38,9.421500205993652,64.22599792480469,24033.939131944444,12.528,28,AA,165
39,9.46267032623291,63.92850112915039,24034.068263888887,11.695,28,AA,166
40,8.956170082092285,63.71670150756836,24034.415636574075,11.784,28,AA,164
41,9.81149959564209,63.582801818847656,24034.586365740743,11.313,28,AA,169
42,10.831700325012207,63.45750045776367,24034.957592592593,11.095,28,AA,175
43,11.068499565124512,63.744998931884766,24035.168993055555,10.739,28,AA,179
44,8.757499694824219,63.44670104980469,24035.955416666668,12.291,28,AA,163
45,8.091500282287598,63.264198303222656,24036.382349537034,12.554,28,AA,156
46,6.716829776763916,62.950801849365234,24036.616655092595,12.66,28,AA,139
47,6.672669887542725,62.64820098876953,24036.822465277775,12.397,28,AA,138
48,7.558499813079834,62.54570007324219,24038.68195601852,12.674,28,AA,149
49,7.349329948425293,62.63349914550781,24038.727314814812,12.316,28,AA,146
50,7.757329940795898,62.727298736572266,24039.08355324074,12.412,28,AA,151
51,7.082499980926514,62.67850112915039,24039.381909722226,12.052,28,AA,143
52,5.505169868469238,62.898799896240234,24040.38813657407,10.778,28,AA,125
53,5.772170066833496,62.582698822021484,24040.847002314815,12.191,28,AA,132
54,5.34250020980835,60.53120040893555,24056.37289351852,11.787,28,AA,105
55,5.341700077056885,60.53120040893555,24056.389791666665,11.801,28,AA,104
56,5.3404998779296875,60.530799865722656,24056.40414351852,11.806000000000001,28,AA,101
57,5.3394999504089355,60.53070068359375,24056.41988425926,11.804,28,AA,100
58,5.332699775695801,60.52880096435547,24056.4434375,11.743,28,AA,97
59,5.328000068664551,60.52629852294922,24056.466458333332,11.751,28,AA,96
60,5.325300216674805,60.52579879760742,24056.49096064815,11.744,28,AA,95
61,5.323200225830078,60.52429962158203,24056.507569444442,11.806000000000001,28,AA,94
62,5.320199966430664,60.523799896240234,24056.52153935185,11.845,28,AA,93
63,5.337800025939941,60.52980041503906,24056.540844907406,11.723,28,AA,98
64,5.341300010681152,60.53099822998047,24056.560127314817,11.766,28,AA,102
65,5.343200206756592,60.56230163574219,24057.36258101852,11.727,28,AA,106
66,5.344299793243408,60.560298919677734,24057.385092592594,11.778,28,AA,108
67,5.346499919891357,60.558998107910156,24057.409131944445,11.781,28,AA,109
68,5.350500106811523,60.5547981262207,24057.435150462963,11.757,28,AA,110
69,5.351500034332275,60.55419921875,24057.45943287037,11.764000000000001,28,AA,111
70,5.353000164031982,60.55270004272461,24057.503518518515,11.767,28,AA,112
71,5.354499816894531,60.55080032348633,24057.521087962963,11.767,28,AA,113
72,5.355299949645996,60.54949951171875,24057.540844907406,11.769,28,AA,114
73,5.35699987411499,60.54779815673828,24057.555370370374,11.757,28,AA,115
74,5.94582986831665,61.14670181274414,24062.48451388889,12.285,28,AA,135
75,6.494722366333008,61.113609313964844,24062.80144675926,12.184000000000001,28,AA,136
76,6.899829864501953,61.10070037841797,24063.09104166667,11.915000000000001,28,AA,140
77,7.287169933319092,61.15250015258789,24063.239560185186,11.518,28,AA,145
78,7.375830173492432,61.360801696777344,24063.51027777778,10.033,28,AA,148
79,7.360330104827881,61.2318000793457,24063.67841435185,10.642,28,AA,147
80,7.053830146789551,60.99319839477539,24063.848645833335,11.332,28,AA,142
81,7.172329902648926,60.93550109863281,24063.93291666667,10.333,28,AA,144
82,6.670499801635742,61.301300048828125,24064.147025462964,10.756,28,AA,137
83,5.169169902801514,60.51449966430664,23997.41358796296,9.446,29,AA,87
84,4.98567008972168,60.58620071411133,23997.472858796293,11.568,29,AA,85
85,5.3686699867248535,60.86949920654297,23999.27880787037,11.843,29,AA,119
86,5.366330146789551,60.86980056762695,23999.939652777775,12.99,29,AA,118
87,5.365670204162598,60.868499755859375,24000.429999999997,13.557,29,AA,116
88,5.392169952392578,60.871299743652344,24002.52070601852,13.968,29,AA,121
89,5.3379998207092285,60.820701599121094,24002.690081018518,14.114,29,AA,99
90,5.343830108642578,60.82550048828125,24003.325671296294,13.922,29,AA,107
91,5.341330051422119,60.82550048828125,24003.686724537038,,29,AA,103
92,5.366330146789551,60.86920166015625,24004.271030092594,12.478,29,AA,117
93,5.3711700439453125,60.87049865722656,24005.875416666666,12.153,29,AA,120
94,5.237329959869385,60.1870002746582,24007.336550925927,13.219,29,AA,90
