rank,Longitude,Latitude,Time,Temperature,Depth,Vaissel_name,Profil_id
0,4.615499973297119,60.75529861450195,19364.226354166665,6.822,16,AA,97
1,4.448299884796143,60.74829864501953,19364.253564814815,6.808,16,AA,94
2,4.285299777984619,60.75149917602539,19364.356944444444,7.76,16,AA,90
3,4.117000102996826,60.747798919677734,19364.387569444447,7.522,16,AA,85
4,3.947499990463257,60.752201080322266,19364.416400462964,6.7780000000000005,16,AA,83
5,3.7853000164031982,60.7504997253418,19364.445497685185,8.959,16,AA,78
6,3.6135001182556152,60.75019836425781,19364.479074074075,9.0,16,AA,74
7,3.4523000717163086,60.750701904296875,19364.50988425926,9.111,16,AA,71
8,3.2816998958587646,60.74829864501953,19364.54716435185,9.176,16,AA,67
9,3.118299961090088,60.747798919677734,19364.576886574072,9.112,16,AA,62
10,2.935699939727783,60.749298095703125,19364.60935185185,9.013,16,AA,58
11,2.763000011444092,60.74829864501953,19364.63766203704,8.857,16,AA,54
12,2.5954999923706055,60.749698638916016,19364.664895833335,8.169,16,AA,47
13,2.2657999992370605,60.749298095703125,19364.71195601852,7.258,16,AA,40
14,1.9172999858856201,60.75120162963867,19364.78070601852,7.237,16,AA,36
15,1.4321999549865723,60.75230026245117,19364.851296296296,8.132,16,AA,31
16,0.9135000109672546,60.75199890136719,19364.925474537038,8.128,16,AA,23
17,0.5861999988555908,60.750701904296875,19364.988055555554,8.965,16,AA,17
18,0.2522999942302704,60.75,19365.055868055555,8.955,16,AA,15
19,0.08349999785423279,60.74919891357422,19365.082291666666,8.92,16,AA,13
20,-0.2653000056743622,60.749698638916016,19365.12835648148,8.743,16,AA,9
21,-0.4650000035762787,60.74729919433594,19365.15855324074,9.06,16,AA,7
22,-0.673799991607666,60.74869918823242,19365.19179398148,9.275,16,AA,5
23,3.0248000621795654,60.57680130004883,19367.505324074074,9.286,16,AA,60
24,2.54830002784729,60.628501892089844,19367.607916666668,8.688,16,AA,46
25,-0.9847999811172485,59.2848014831543,19369.830231481483,8.097,16,AA,3
26,-0.6563000082969666,59.2848014831543,19369.882118055557,7.57,16,AA,6
27,-0.3617999851703644,59.2848014831543,19369.925960648146,7.351,16,AA,8
28,0.006500000134110451,59.281700134277344,19369.97979166667,7.488,16,AA,12
29,0.3292999863624573,59.284698486328125,19370.039548611112,7.5280000000000005,16,AA,16
30,0.6779999732971191,59.28379821777344,19370.08986111111,7.619,16,AA,19
31,1.003499984741211,59.28219985961914,19370.14857638889,7.44,16,AA,24
32,1.3131999969482422,59.28219985961914,19370.195069444442,7.2330000000000005,16,AA,30
33,1.6562999486923218,59.28379821777344,19370.253969907408,7.2330000000000005,16,AA,33
34,2.012500047683716,59.284000396728516,19370.392291666667,7.1850000000000005,16,AA,37
35,2.246999979019165,59.28450012207031,19370.426342592593,7.164000000000001,16,AA,39
36,2.5167999267578125,59.28200149536133,19370.515162037038,7.062,16,AA,45
37,2.751300096511841,59.28369903564453,19370.551828703705,6.9510000000000005,16,AA,50
38,2.9019999504089355,59.28269958496094,19370.590659722224,7.702,16,AA,56
39,3.074199914932251,59.28730010986328,19370.61494212963,7.640000000000001,16,AA,61
40,3.227299928665161,59.28300094604492,19370.676157407408,7.689,16,AA,66
41,3.3631999492645264,59.28350067138672,19371.464363425926,8.357,16,AA,68
42,3.5336999893188477,59.283199310302734,19371.497337962963,7.373,16,AA,72
43,3.682499885559082,59.28300094604492,19371.52736111111,7.038,16,AA,77
44,3.849299907684326,59.28620147705078,19371.559618055555,6.382000000000001,16,AA,79
45,4.032700061798096,59.28919982910156,19371.591944444444,6.6450000000000005,16,AA,84
46,4.18120002746582,59.288299560546875,19371.617962962962,6.144,16,AA,88
47,4.333799839019775,59.284698486328125,19371.64386574074,6.049,16,AA,92
48,4.499199867248535,59.283199310302734,19371.673298611113,5.92,16,AA,96
49,4.668000221252441,59.28329849243164,19371.703530092593,5.933,16,AA,99
50,4.822000026702881,59.2843017578125,19371.734791666666,6.25,16,AA,102
51,4.933800220489502,59.28269958496094,19371.760925925926,6.058,16,AA,103
52,5.031199932098389,59.284000396728516,19371.781817129628,6.099,16,AA,105
53,8.084500312805176,58.050498962402344,19376.166469907406,7.5280000000000005,16,AA,125
54,8.101200103759766,57.98379898071289,19376.192916666667,6.1530000000000005,16,AA,126
55,8.163200378417969,57.91579818725586,19376.223819444444,6.66,16,AA,127
56,8.200200080871582,57.85129928588867,19376.253159722222,6.274,16,AA,128
57,8.284000396728516,57.73529815673828,19376.301064814816,6.154,16,AA,129
58,8.336199760437012,57.64970016479492,19376.334976851853,6.218,16,AA,130
59,8.38070011138916,57.54679870605469,19376.374386574073,6.118,16,AA,131
60,8.4197998046875,57.481998443603516,19376.398229166665,5.913,16,AA,132
61,8.46780014038086,57.39870071411133,19376.426550925924,5.238,16,AA,133
62,8.503800392150879,57.316001892089844,19376.455439814814,4.8,16,AA,134
63,8.555800437927246,57.23400115966797,19376.483784722222,,16,AA,135
64,7.682700157165527,57.40250015258789,19376.739988425925,6.325,16,AA,123
65,7.952499866485596,57.00149917602539,19376.915925925925,4.892,16,AA,124
66,7.653500080108643,57.00279998779297,19376.977465277778,5.3420000000000005,16,AA,122
67,7.353799819946289,56.99980163574219,19377.032824074075,5.5040000000000004,16,AA,121
68,6.997499942779541,57.00170135498047,19377.09681712963,5.739,16,AA,120
69,6.6717000007629395,57.00130081176758,19377.162685185187,6.297,16,AA,119
70,6.337699890136719,57.00019836425781,19377.228668981483,5.99,16,AA,118
71,6.004799842834473,56.999298095703125,19377.295995370372,6.117,16,AA,115
72,5.832200050354004,56.88169860839844,19377.347905092593,6.393,16,AA,114
73,6.254300117492676,56.676300048828125,19377.525902777776,5.738,16,AA,117
74,5.768700122833252,56.779300689697266,19377.631041666667,6.122,16,AA,113
75,5.6682000160217285,57.00130081176758,19377.76125,6.0280000000000005,16,AA,111
