rank,Longitude,Latitude,Time,Temperature,Conductivity,Salinity,Depth,Vaissel_name,Profil_id
0,5.199699878692627,62.36520004272461,19376.416006944444,7.307,35.034,34.409,16,GT,15
1,4.948299884796143,62.486000061035156,19376.46545138889,7.6690000000000005,35.559,34.619,16,GT,14
2,4.700200080871582,62.604801177978516,19376.541805555556,7.816,35.742,34.67,16,GT,13
3,4.439300060272217,62.72129821777344,19376.5946875,8.769,37.145,35.221000000000004,16,GT,12
4,4.197000026702881,62.83720016479492,19376.703344907408,8.951,37.337,35.242,16,GT,11
5,3.920300006866455,62.95750045776367,19376.779675925925,8.63,37.056,35.265,16,GT,10
6,3.680299997329712,63.0802001953125,19376.894652777777,9.073,37.529,35.321,16,GT,9
7,3.4007999897003174,63.19329833984375,19377.191574074073,8.364,36.768,35.224000000000004,16,GT,8
8,3.1247000694274902,63.30820083618164,19377.41828703704,8.262,36.664,35.216,16,GT,7
9,2.871299982070923,63.426300048828125,19377.554444444442,8.659,37.046,35.225,16,GT,6
10,2.357800006866455,63.68220138549805,19377.72627314815,8.694,37.1,35.248,16,GT,5
11,1.8037999868392944,63.89979934692383,19377.885081018518,8.442,36.886,35.272,16,GT,4
12,1.2725000381469727,64.13780212402344,19378.095613425925,7.769,36.207,35.219,16,GT,3
13,0.7105000019073486,64.37149810791016,19378.282546296297,6.666,35.094,35.121,16,GT,2
14,0.0017000000225380063,64.6697006225586,19378.46390046296,6.82,35.246,35.133,16,GT,1
15,16.55780029296875,71.48570251464844,19419.788472222222,6.75,35.163000000000004,35.113,16,GT,97
16,16.913999557495117,71.51480102539062,19420.019710648146,6.418,34.711,34.95,16,GT,103
17,17.082199096679688,70.99929809570312,19420.203819444443,6.649,34.973,35.006,16,GT,104
18,17.725299835205078,69.69580078125,19439.23996527778,4.751,32.544000000000004,34.191,16,GT,108
19,17.437299728393555,69.78970336914062,19439.306979166668,4.941,32.787,34.277,16,GT,107
20,17.097999572753906,69.9031982421875,19439.388506944444,5.187,33.079,34.362,16,GT,105
21,16.80299949645996,70.00250244140625,19439.486747685183,6.714,34.956,34.92,16,GT,100
22,16.58530044555664,69.85179901123047,19439.573935185184,6.38,34.528,34.784,16,GT,99
23,16.90920066833496,69.72920227050781,19439.690555555553,5.954,33.985,34.608000000000004,16,GT,102
24,17.148799896240234,69.63600158691406,19439.73730324074,5.825,33.839,34.577,16,GT,106
25,16.877500534057617,69.51180267333984,19439.80318287037,4.566,32.335,34.138,16,GT,101
26,16.559200286865234,69.61920166015625,19439.871446759258,5.686,33.644,34.496,16,GT,98
27,16.2637996673584,69.7229995727539,19439.937337962965,6.501,34.681,34.831,16,GT,95
28,16.202499389648438,69.63629913330078,19440.0962962963,6.921,35.201,34.980000000000004,16,GT,94
29,15.883000373840332,69.63619995117188,19440.17855324074,6.843,35.288000000000004,35.157000000000004,16,GT,90
30,16.147300720214844,69.53050231933594,19440.333090277778,6.236,34.303,34.678,16,GT,93
31,16.387699127197266,69.4469985961914,19440.42486111111,5.489,33.376,34.392,16,GT,96
32,16.114299774169922,69.41020202636719,19440.486539351852,5.33,33.174,34.323,16,GT,92
33,15.969799995422363,69.35530090332031,19440.54326388889,4.985,32.751,34.19,16,GT,91
34,15.515000343322754,69.38300323486328,19440.648657407408,6.1690000000000005,34.215,34.648,16,GT,88
35,15.15530014038086,69.38369750976562,19440.7115625,7.28,35.708,35.172000000000004,16,GT,85
36,15.396499633789062,69.29000091552734,19440.82591435185,5.91,33.912,34.571,16,GT,86
37,15.613200187683105,69.20379638671875,19440.87491898148,4.949,32.703,34.172000000000004,16,GT,89
38,15.40470027923584,69.06900024414062,19441.035069444446,3.743,31.067,33.488,16,GT,87
39,15.129199981689453,69.16699981689453,19441.085451388888,5.41,33.27,34.352000000000004,16,GT,84
40,14.893199920654297,69.25980377197266,19441.13236111111,6.767,34.962,34.873,16,GT,81
41,14.576000213623047,69.24980163574219,19441.18974537037,7.086,35.413000000000004,35.048,16,GT,68
42,14.472299575805664,69.14920043945312,19441.305856481482,6.7490000000000006,34.947,34.876,16,GT,62
43,14.706000328063965,69.07720184326172,19441.385439814814,6.2620000000000005,34.323,34.675000000000004,16,GT,72
44,14.92549991607666,69.0009994506836,19441.43359953704,4.578,32.232,34.005,16,GT,82
45,14.63029956817627,68.89769744873047,19441.498831018518,4.5680000000000005,32.21,33.99,16,GT,69
46,14.019499778747559,69.08370208740234,19441.65457175926,7.322,35.732,35.158,16,GT,53
47,13.916799545288086,69.02320098876953,19441.71292824074,7.197,35.564,35.099000000000004,16,GT,49
48,13.602499961853027,68.99330139160156,19441.77960648148,7.2540000000000004,35.628,35.112,16,GT,42
49,13.943300247192383,68.86930084228516,19441.85179398148,6.279,34.331,34.666000000000004,16,GT,50
50,14.264300346374512,68.75900268554688,19441.911770833332,4.929,32.63,34.108000000000004,16,GT,58
51,14.222200393676758,68.54879760742188,19442.02099537037,4.964,32.625,34.066,16,GT,57
52,14.755499839782715,68.64250183105469,19442.386296296296,3.59,30.756,33.273,16,GT,75
53,15.09179973602295,68.72149658203125,19442.445405092592,3.204,29.588,32.261,16,GT,83
54,13.729999542236328,68.71080017089844,19442.71185185185,6.066,34.051,34.569,16,GT,44
55,13.318499565124512,68.85279846191406,19442.819826388888,6.9190000000000005,35.136,34.911,16,GT,36
56,13.18220043182373,68.80419921875,19442.883553240743,6.982,35.242,34.964,16,GT,31
57,12.839300155639648,68.80570220947266,19443.038229166665,7.2540000000000004,35.629,35.114,16,GT,23
58,13.204000473022461,68.68099975585938,19443.101041666665,6.617,34.734,34.772,16,GT,33
59,13.563199996948242,68.55719757080078,19443.1587962963,5.696,33.584,34.418,16,GT,40
60,13.996800422668457,68.41570281982422,19443.223877314816,5.357,33.146,34.264,16,GT,51
