rank,Longitude,Latitude,Time,Temperature,Depth,Vaissel_name,Profil_id
47,5.47130012512207,60.88199996948242,19650.647696759257,11.895,21,AA,165
48,5.347499847412109,60.84880065917969,19650.99832175926,12.324,21,AA,158
49,5.316699981689453,60.80619812011719,19651.030208333334,12.484,21,AA,155
50,5.317299842834473,60.80619812011719,19651.379756944447,12.382,21,AA,156
51,5.168700218200684,60.685699462890625,19652.187280092592,11.076,21,AA,148
52,5.168700218200684,60.685699462890625,19652.5134375,11.021,21,AA,148
53,5.215000152587891,60.65620040893555,19652.67042824074,11.088000000000001,21,AA,151
54,5.255799770355225,60.624298095703125,19652.937997685185,11.24,21,AA,153
55,5.091300010681152,60.71220016479492,19653.09107638889,10.885,21,AA,147
56,5.05620002746582,60.72549819946289,19653.734733796296,10.891,21,AA,145
57,5.055799961090088,60.725799560546875,19653.749270833334,10.885,21,AA,144
58,5.038300037384033,60.73350143432617,19653.932997685184,10.786,21,AA,143
59,6.259300231933594,59.507999420166016,19683.833819444444,12.790000000000001,21,AA,172
60,6.543499946594238,60.081199645996094,19685.29045138889,9.236,21,AA,175
61,6.547800064086914,60.12200164794922,19685.31355324074,9.641,21,AA,176
62,6.564199924468994,60.17020034790039,19685.341608796294,10.374,21,AA,177
63,6.633999824523926,60.32500076293945,19685.397696759257,11.797,21,AA,179
64,4.7891998291015625,60.856300354003906,19686.994618055556,9.747,21,AA,139
65,4.8993000984191895,60.84980010986328,19687.029293981483,9.704,21,AA,140
66,5.076000213623047,60.817298889160156,19687.0784375,9.902000000000001,21,AA,146
67,5.236499786376953,60.760799407958984,19687.13505787037,10.741,21,AA,152
68,5.411300182342529,60.698699951171875,19687.2084375,10.846,21,AA,162
69,5.340799808502197,60.82429885864258,19687.282349537036,11.316,21,AA,157
70,5.364500045776367,60.86669921875,19687.31769675926,11.472,21,AA,159
71,5.465799808502197,60.880699157714844,19687.35542824074,11.064,21,AA,164
72,8.172499656677246,63.06880187988281,19646.98138888889,13.114,22,AA,190
73,8.134499549865723,63.10580062866211,19647.258287037035,13.102,22,AA,189
74,8.102800369262695,63.12730026245117,19647.28840277778,13.256,22,AA,188
75,8.101300239562988,63.12799835205078,19647.566527777777,13.245000000000001,22,AA,187
76,8.379799842834473,62.95320129394531,19647.952777777777,12.774000000000001,22,AA,192
77,8.428500175476074,62.917198181152344,19648.124537037038,12.73,22,AA,193
78,8.28600025177002,62.997501373291016,19648.305671296297,13.23,22,AA,191
79,5.307000160217285,61.08150100708008,19649.426550925924,12.637,22,AA,154
80,5.307000160217285,61.08150100708008,19649.456597222223,,22,AA,154
81,5.559700012207031,60.87070083618164,19650.209328703702,10.761000000000001,22,AA,167
82,5.386199951171875,60.87179946899414,19650.403171296297,12.169,22,AA,160
83,5.47130012512207,60.88199996948242,19650.647696759257,11.613,22,AA,165
84,5.347499847412109,60.84880065917969,19650.99832175926,12.263,22,AA,158
85,5.316699981689453,60.80619812011719,19651.030208333334,12.39,22,AA,155
86,5.317299842834473,60.80619812011719,19651.379756944447,12.264000000000001,22,AA,156
87,5.168700218200684,60.685699462890625,19652.187280092592,11.029,22,AA,148
88,5.168700218200684,60.685699462890625,19652.5134375,11.035,22,AA,148
89,5.215000152587891,60.65620040893555,19652.67042824074,11.067,22,AA,151
90,5.255799770355225,60.624298095703125,19652.937997685185,11.177,22,AA,153
91,5.091300010681152,60.71220016479492,19653.09107638889,10.83,22,AA,147
92,5.05620002746582,60.72549819946289,19653.734733796296,10.832,22,AA,145
93,5.055799961090088,60.725799560546875,19653.749270833334,10.851,22,AA,144
94,5.038300037384033,60.73350143432617,19653.932997685184,10.735,22,AA,143
95,6.259300231933594,59.507999420166016,19683.833819444444,12.783,22,AA,172
96,6.543499946594238,60.081199645996094,19685.29045138889,9.246,22,AA,175
97,6.547800064086914,60.12200164794922,19685.31355324074,9.681000000000001,22,AA,176
98,6.564199924468994,60.17020034790039,19685.341608796294,10.442,22,AA,177
99,6.633999824523926,60.32500076293945,19685.397696759257,11.697000000000001,22,AA,179
100,4.7891998291015625,60.856300354003906,19686.994618055556,9.75,22,AA,139
101,4.8993000984191895,60.84980010986328,19687.029293981483,9.703,22,AA,140
102,5.076000213623047,60.817298889160156,19687.0784375,9.911,22,AA,146
103,5.236499786376953,60.760799407958984,19687.13505787037,10.748000000000001,22,AA,152
104,5.411300182342529,60.698699951171875,19687.2084375,10.841000000000001,22,AA,162
105,5.340799808502197,60.82429885864258,19687.282349537036,11.388,22,AA,157
106,5.364500045776367,60.86669921875,19687.31769675926,11.446,22,AA,159
