rank,Longitude,Latitude,Time,Temperature,Conductivity,Salinity,Depth,Vaissel_name,Profil_id
0,-0.9847999811172485,59.2848014831543,19369.830231481483,8.094,36.491,35.207,0,AA,22
1,-0.6563000082969666,59.2848014831543,19369.882118055557,7.567,35.963,35.167,0,AA,28
2,-0.3617999851703644,59.2848014831543,19369.925960648146,7.359,35.747,35.143,0,AA,33
3,0.006500000134110451,59.281700134277344,19369.97979166667,7.48,35.902,35.19,0,AA,43
4,0.3292999863624573,59.284698486328125,19370.039548611112,7.527,35.952,35.197,0,AA,51
5,0.6779999732971191,59.28379821777344,19370.08986111111,7.622,36.054,35.212,0,AA,58
6,1.003499984741211,59.28219985961914,19370.14857638889,7.462,35.874,35.179,0,AA,63
7,1.3131999969482422,59.28219985961914,19370.195069444442,7.234,35.583,35.092,0,AA,70
8,1.6562999486923218,59.28379821777344,19370.253969907408,7.243,35.601,35.101,0,AA,81
9,2.012500047683716,59.284000396728516,19370.392291666667,7.192,35.542,35.088,0,AA,92
10,2.246999979019165,59.28450012207031,19370.426342592593,7.178,35.516,35.075,0,AA,100
11,2.5167999267578125,59.28200149536133,19370.515162037038,7.07,35.366,35.02,0,AA,113
12,2.751300096511841,59.28369903564453,19370.551828703705,6.953,35.214,34.97,0,AA,122
13,2.9019999504089355,59.28269958496094,19370.590659722224,7.595,35.792,34.954,0,AA,128
14,3.074199914932251,59.28730010986328,19370.61494212963,7.132000000000001,34.895,34.439,0,AA,140
15,3.227299928665161,59.28300094604492,19370.676157407408,6.963,34.68,34.372,0,AA,145
16,3.3631999492645264,59.28350067138672,19371.464363425926,8.265,36.524,35.07,0,AA,149
17,3.5336999893188477,59.283199310302734,19371.497337962963,7.285,35.069,34.475,0,AA,159
18,3.682499885559082,59.28300094604492,19371.52736111111,6.516,34.013,34.078,0,AA,165
19,3.849299907684326,59.28620147705078,19371.559618055555,6.378,33.627,33.788000000000004,0,AA,170
20,4.032700061798096,59.28919982910156,19371.591944444444,6.627,33.991,33.944,0,AA,183
21,4.18120002746582,59.288299560546875,19371.617962962962,6.142,33.261,33.612,0,AA,188
22,4.333799839019775,59.284698486328125,19371.64386574074,6.048,33.17,33.603,0,AA,194
23,4.499199867248535,59.283199310302734,19371.673298611113,5.922,32.986000000000004,33.52,0,AA,202
24,4.668000221252441,59.28329849243164,19371.703530092593,5.93,33.033,33.565,0,AA,213
25,4.822000026702881,59.2843017578125,19371.734791666666,6.148,33.333,33.688,0,AA,218
26,4.933800220489502,59.28269958496094,19371.760925925926,6.063,33.196,33.618,0,AA,224
27,5.031199932098389,59.284000396728516,19371.781817129628,5.892,32.823,33.367,0,AA,235
28,8.084500312805176,58.050498962402344,19376.166469907406,7.182,34.464,33.918,0,AA,316
29,8.101200103759766,57.98379898071289,19376.192916666667,5.968,32.39,32.805,0,AA,317
30,8.163200378417969,57.91579818725586,19376.223819444444,6.287,32.868,33.03,0,AA,319
31,8.200200080871582,57.85129928588867,19376.253159722222,6.049,32.527,32.881,0,AA,320
32,8.284000396728516,57.73529815673828,19376.301064814816,5.976,32.82,33.281,0,AA,322
33,8.336199760437012,57.64970016479492,19376.334976851853,4.727,31.114,32.561,0,AA,323
34,8.38070011138916,57.54679870605469,19376.374386574073,4.269,30.476,32.269,0,AA,324
35,8.4197998046875,57.481998443603516,19376.398229166665,4.561,31.088,32.695,0,AA,325
36,8.46780014038086,57.39870071411133,19376.426550925924,5.158,32.67,33.928,0,AA,327
37,8.503800392150879,57.316001892089844,19376.455439814814,4.789,32.077,33.618,0,AA,328
