rank,Longitude,Latitude,Time,Temperature,Depth,Vessel_name,Profil_id
58,5.340799808502197,60.82429885864258,19687.282349537036,8.014,200,AA,203
59,5.364500045776367,60.86669921875,19687.31769675926,8.022,200,AA,205
60,5.465799808502197,60.880699157714844,19687.35542824074,8.044,200,AA,210
61,5.307000160217285,61.08150100708008,19649.426550925924,7.767,201,AA,200
62,5.307000160217285,61.08150100708008,19649.456597222223,,201,AA,200
63,5.559700012207031,60.87070083618164,19650.209328703702,,201,AA,215
64,5.386199951171875,60.87179946899414,19650.403171296297,8.041,201,AA,206
65,5.47130012512207,60.88199996948242,19650.647696759257,8.062,201,AA,211
66,5.347499847412109,60.84880065917969,19650.99832175926,8.023,201,AA,204
67,5.316699981689453,60.80619812011719,19651.030208333334,,201,AA,201
68,5.317299842834473,60.80619812011719,19651.379756944447,,201,AA,202
69,5.168700218200684,60.685699462890625,19652.187280092592,6.413,201,AA,194
70,5.168700218200684,60.685699462890625,19652.5134375,6.413,201,AA,194
71,5.215000152587891,60.65620040893555,19652.67042824074,6.413,201,AA,196
72,5.255799770355225,60.624298095703125,19652.937997685185,,201,AA,199
73,5.091300010681152,60.71220016479492,19653.09107638889,6.41,201,AA,193
74,5.05620002746582,60.72549819946289,19653.734733796296,,201,AA,191
75,5.055799961090088,60.725799560546875,19653.749270833334,,201,AA,190
76,5.038300037384033,60.73350143432617,19653.932997685184,,201,AA,189
77,6.869800090789795,57.63370132446289,19668.302037037036,7.87,201,AA,242
78,6.361199855804443,57.650299072265625,19668.441435185185,,201,AA,233
79,5.934700012207031,57.6682014465332,19668.548333333332,,201,AA,223
80,5.857699871063232,57.76169967651367,19668.622893518517,,201,AA,220
81,5.957200050354004,57.92319869995117,19668.719050925927,8.021,201,AA,225
82,6.554200172424316,58.16080093383789,19668.89613425926,8.0,201,AA,238
83,6.0346999168396,58.29100036621094,19669.012800925924,8.193,201,AA,226
84,5.776199817657471,58.2859992980957,19669.096412037037,7.946,201,AA,218
85,5.483799934387207,58.33649826049805,19669.186550925926,8.319,201,AA,212
86,5.461699962615967,58.40380096435547,19669.288194444445,8.242,201,AA,209
87,5.572000026702881,58.561798095703125,19669.387314814816,8.120000000000001,201,AA,216
88,5.415299892425537,58.58919906616211,19669.46125,7.859,201,AA,208
89,5.242000102996826,58.590301513671875,19669.54097222222,7.676,201,AA,198
90,4.980800151824951,58.660499572753906,19669.623726851853,7.529,201,AA,187
91,4.6427001953125,58.54280090332031,19669.744930555556,7.644,201,AA,179
92,4.517000198364258,58.891998291015625,19669.888703703702,7.454,201,AA,175
93,4.9166998863220215,58.932701110839844,19670.003194444445,7.988,201,AA,185
94,5.173799991607666,58.94049835205078,19670.097962962962,7.5680000000000005,201,AA,195
95,4.348700046539307,58.383201599121094,19672.30861111111,8.09,201,AA,172
96,4.155300140380859,58.33980178833008,19672.42976851852,,201,AA,167
97,4.786499977111816,58.20830154418945,19672.63351851852,7.912,201,AA,181
98,6.409200191497803,57.98030090332031,19673.457476851854,7.945,201,AA,234
99,5.783299922943115,58.94419860839844,19682.974791666667,7.518,201,AA,219
100,6.076900005340576,58.89459991455078,19683.289097222223,,201,AA,228
101,6.274400234222412,59.00320053100586,19683.34252314815,7.337,201,AA,232
102,6.495800018310547,59.03179931640625,19683.391180555554,7.3500000000000005,201,AA,235
103,6.630199909210205,59.05139923095703,19683.43263888889,,201,AA,240
104,5.8653998374938965,58.984901428222656,19683.559675925924,7.3870000000000005,201,AA,221
105,5.869500160217285,59.067501068115234,19683.598541666666,,201,AA,222
106,6.074999809265137,59.39590072631836,19683.774791666667,7.644,201,AA,227
107,6.259300231933594,59.507999420166016,19683.833819444444,7.548,201,AA,231
108,5.941999912261963,59.309600830078125,19683.93388888889,7.529,201,AA,224
109,5.551499843597412,59.16559982299805,19684.02965277778,7.8260000000000005,201,AA,214
110,6.543499946594238,60.081199645996094,19685.29045138889,,201,AA,236
111,6.547800064086914,60.12200164794922,19685.31355324074,,201,AA,237
112,6.564199924468994,60.17020034790039,19685.341608796294,7.378,201,AA,239
113,6.633999824523926,60.32500076293945,19685.397696759257,7.386,201,AA,241
114,4.7891998291015625,60.856300354003906,19686.994618055556,8.887,201,AA,182
115,4.8993000984191895,60.84980010986328,19687.029293981483,8.338000000000001,201,AA,184
116,5.076000213623047,60.817298889160156,19687.0784375,8.149000000000001,201,AA,192
117,5.236499786376953,60.760799407958984,19687.13505787037,8.053,201,AA,197
118,5.411300182342529,60.698699951171875,19687.2084375,7.98,201,AA,207
119,5.340799808502197,60.82429885864258,19687.282349537036,8.014,201,AA,203
120,5.364500045776367,60.86669921875,19687.31769675926,8.022,201,AA,205
121,5.465799808502197,60.880699157714844,19687.35542824074,8.044,201,AA,210
122,5.307000160217285,61.08150100708008,19649.426550925924,7.766,202,AA,200
123,5.307000160217285,61.08150100708008,19649.456597222223,,202,AA,200
124,5.559700012207031,60.87070083618164,19650.209328703702,,202,AA,215
125,5.386199951171875,60.87179946899414,19650.403171296297,8.042,202,AA,206
126,5.47130012512207,60.88199996948242,19650.647696759257,8.062,202,AA,211
127,5.347499847412109,60.84880065917969,19650.99832175926,8.023,202,AA,204
128,5.316699981689453,60.80619812011719,19651.030208333334,,202,AA,201
129,5.317299842834473,60.80619812011719,19651.379756944447,,202,AA,202
