rank,Longitude,Latitude,Time,Temperature,Depth,Vessel_name,Profil_id
0,5.307000160217285,61.08150100708008,19649.426550925924,9.35,0,AA,200
1,5.307000160217285,61.08150100708008,19649.456597222223,9.282,0,AA,200
2,5.559700012207031,60.87070083618164,19650.209328703702,10.699,0,AA,215
3,5.386199951171875,60.87179946899414,19650.403171296297,10.088000000000001,0,AA,206
4,5.47130012512207,60.88199996948242,19650.647696759257,10.698,0,AA,211
5,5.347499847412109,60.84880065917969,19650.99832175926,12.971,0,AA,204
6,5.316699981689453,60.80619812011719,19651.030208333334,7.3950000000000005,0,AA,201
7,5.317299842834473,60.80619812011719,19651.379756944447,7.41,0,AA,202
8,5.168700218200684,60.685699462890625,19652.187280092592,9.009,0,AA,194
9,5.168700218200684,60.685699462890625,19652.5134375,9.053,0,AA,194
10,5.215000152587891,60.65620040893555,19652.67042824074,10.099,0,AA,196
11,5.255799770355225,60.624298095703125,19652.937997685185,9.835,0,AA,199
12,5.091300010681152,60.71220016479492,19653.09107638889,8.34,0,AA,193
13,5.05620002746582,60.72549819946289,19653.734733796296,8.384,0,AA,191
14,5.055799961090088,60.725799560546875,19653.749270833334,8.227,0,AA,190
15,5.038300037384033,60.73350143432617,19653.932997685184,9.332,0,AA,189
16,6.869800090789795,57.63370132446289,19668.302037037036,10.444,0,AA,242
17,6.361199855804443,57.650299072265625,19668.441435185185,10.484,0,AA,233
18,5.934700012207031,57.6682014465332,19668.548333333332,10.395,0,AA,223
19,5.857699871063232,57.76169967651367,19668.622893518517,10.446,0,AA,220
20,5.957200050354004,57.92319869995117,19668.719050925927,10.359,0,AA,225
21,6.554200172424316,58.16080093383789,19668.89613425926,10.451,0,AA,238
22,6.0346999168396,58.29100036621094,19669.012800925924,10.73,0,AA,226
23,5.776199817657471,58.2859992980957,19669.096412037037,10.806000000000001,0,AA,218
24,5.483799934387207,58.33649826049805,19669.186550925926,10.926,0,AA,212
25,5.461699962615967,58.40380096435547,19669.288194444445,10.887,0,AA,209
26,5.572000026702881,58.561798095703125,19669.387314814816,10.943,0,AA,216
27,5.415299892425537,58.58919906616211,19669.46125,11.031,0,AA,208
28,5.242000102996826,58.590301513671875,19669.54097222222,10.841000000000001,0,AA,198
29,4.980800151824951,58.660499572753906,19669.623726851853,10.993,0,AA,187
30,4.6427001953125,58.54280090332031,19669.744930555556,10.67,0,AA,179
