,Longitude,Latitude,Time,Temperature,Depth,PlatformCode
776,3.5894999504089355,58.713199615478516,19383.636689814815,7.199,8,AA
777,3.858299970626831,58.49020004272461,19383.732800925925,6.364,8,AA
778,4.177999973297119,58.313201904296875,19383.829999999998,7.067,8,AA
779,3.1493000984191895,59.71730041503906,19384.32238425926,8.944,8,AA
780,2.752700090408325,59.63029861450195,19384.445532407408,7.898000000000001,8,AA
781,1.2741999626159668,59.701698303222656,19385.749733796296,7.6530000000000005,8,AA
782,0.815500020980835,59.667198181152344,19385.854247685184,7.4910000000000005,8,AA
783,-0.9847999811172485,59.2848014831543,19369.830231481483,8.092,9,AA
784,-0.6563000082969666,59.2848014831543,19369.882118055557,7.567,9,AA
785,-0.3617999851703644,59.2848014831543,19369.925960648146,7.351,9,AA
786,0.006500000134110451,59.281700134277344,19369.97979166667,7.487,9,AA
787,0.3292999863624573,59.284698486328125,19370.039548611112,7.527,9,AA
788,0.6779999732971191,59.28379821777344,19370.08986111111,7.618,9,AA
789,1.003499984741211,59.28219985961914,19370.14857638889,7.44,9,AA
790,1.3131999969482422,59.28219985961914,19370.195069444442,7.2330000000000005,9,AA
791,1.6562999486923218,59.28379821777344,19370.253969907408,7.23,9,AA
792,2.012500047683716,59.284000396728516,19370.392291666667,7.1850000000000005,9,AA
793,2.246999979019165,59.28450012207031,19370.426342592593,7.165,9,AA
794,2.5167999267578125,59.28200149536133,19370.515162037038,7.062,9,AA
795,2.751300096511841,59.28369903564453,19370.551828703705,6.9510000000000005,9,AA
796,2.9019999504089355,59.28269958496094,19370.590659722224,7.62,9,AA
797,3.074199914932251,59.28730010986328,19370.61494212963,7.394,9,AA
798,3.227299928665161,59.28300094604492,19370.676157407408,6.964,9,AA
799,3.3631999492645264,59.28350067138672,19371.464363425926,8.290000000000001,9,AA
800,3.5336999893188477,59.283199310302734,19371.497337962963,7.332,9,AA
801,3.682499885559082,59.28300094604492,19371.52736111111,6.583,9,AA
802,3.849299907684326,59.28620147705078,19371.559618055555,6.378,9,AA
803,4.032700061798096,59.28919982910156,19371.591944444444,6.640000000000001,9,AA
804,4.18120002746582,59.288299560546875,19371.617962962962,6.143,9,AA
805,4.333799839019775,59.284698486328125,19371.64386574074,6.054,9,AA
806,4.499199867248535,59.283199310302734,19371.673298611113,5.918,9,AA
807,4.668000221252441,59.28329849243164,19371.703530092593,5.924,9,AA
808,4.822000026702881,59.2843017578125,19371.734791666666,6.148,9,AA
809,4.933800220489502,59.28269958496094,19371.760925925926,6.0600000000000005,9,AA
810,5.031199932098389,59.284000396728516,19371.781817129628,5.89,9,AA
811,8.084500312805176,58.050498962402344,19376.166469907406,7.196,9,AA
812,8.101200103759766,57.98379898071289,19376.192916666667,5.978,9,AA
813,8.163200378417969,57.91579818725586,19376.223819444444,6.284,9,AA
814,8.200200080871582,57.85129928588867,19376.253159722222,6.067,9,AA
815,8.284000396728516,57.73529815673828,19376.301064814816,5.9910000000000005,9,AA
816,8.336199760437012,57.64970016479492,19376.334976851853,5.388,9,AA
817,8.38070011138916,57.54679870605469,19376.374386574073,4.333,9,AA
818,8.4197998046875,57.481998443603516,19376.398229166665,5.781,9,AA
819,8.46780014038086,57.39870071411133,19376.426550925924,5.2010000000000005,9,AA
820,8.503800392150879,57.316001892089844,19376.455439814814,4.797,9,AA
821,8.555800437927246,57.23400115966797,19376.483784722222,3.826,9,AA
822,7.682700157165527,57.40250015258789,19376.739988425925,6.304,9,AA
823,7.952499866485596,57.00149917602539,19376.915925925925,4.867,9,AA
824,7.653500080108643,57.00279998779297,19376.977465277778,5.345,9,AA
825,7.353799819946289,56.99980163574219,19377.032824074075,5.502,9,AA
826,6.997499942779541,57.00170135498047,19377.09681712963,5.739,9,AA
827,6.6717000007629395,57.00130081176758,19377.162685185187,6.295,9,AA
828,6.337699890136719,57.00019836425781,19377.228668981483,5.99,9,AA
829,6.004799842834473,56.999298095703125,19377.295995370372,6.115,9,AA
830,5.832200050354004,56.88169860839844,19377.347905092593,6.389,9,AA
831,6.254300117492676,56.676300048828125,19377.525902777776,5.739,9,AA
832,5.768700122833252,56.779300689697266,19377.631041666667,6.1240000000000006,9,AA
833,5.6682000160217285,57.00130081176758,19377.76125,6.0280000000000005,9,AA
834,5.195499897003174,56.99879837036133,19377.8665625,6.1450000000000005,9,AA
835,6.117300033569336,57.18479919433594,19378.303946759257,6.0920000000000005,9,AA
836,5.738699913024902,57.22600173950195,19378.41138888889,5.905,9,AA
837,4.645699977874756,57.838199615478516,19378.69883101852,7.222,9,AA
838,4.697500228881836,57.000701904296875,19379.247222222224,6.15,9,AA
839,4.492199897766113,57.13019943237305,19379.302511574075,6.032,9,AA
840,4.301300048828125,57.000701904296875,19379.38699074074,6.152,9,AA
841,4.171299934387207,56.87080001831055,19379.426979166667,6.319,9,AA
842,3.898699998855591,57.003501892089844,19379.50136574074,6.232,9,AA
843,3.6691999435424805,57.00130081176758,19379.535729166666,6.667,9,AA
844,3.395699977874756,57.000701904296875,19379.61664351852,6.843,9,AA
845,3.1273000240325928,57.89649963378906,19380.325671296294,7.258,9,AA
846,2.9519999027252197,57.737300872802734,19380.440671296295,6.112,9,AA
847,2.625999927520752,57.26599884033203,19380.585046296295,7.36,9,AA
848,2.753999948501587,56.920799255371094,19380.728877314814,7.218,9,AA
849,2.9296998977661133,56.99980163574219,19380.765659722223,7.1850000000000005,9,AA
850,2.498699903488159,57.00230026245117,19380.824027777777,7.352,9,AA
851,2.066800117492676,56.99980163574219,19380.8840625,7.438,9,AA
852,1.7992000579833984,56.999698638916016,19380.922152777777,7.46,9,AA
853,1.6002000570297241,57.00130081176758,19380.95113425926,7.535,9,AA
854,1.1360000371932983,57.0004997253418,19381.016215277778,7.829,9,AA
